timestamp,open,high,low,close,volume
2026-06-05 03:02:00,63461.86,63461.86,63428.96,63434.04,9.36313431
2026-06-05 03:03:00,63434.04,63459.99,63404.68,63408.28,11.70094801
2026-06-05 03:04:00,63408.28,63408.29,63309.26,63332.7,9.72014936
2026-06-05 03:05:00,63318.93,63339.0,63283.3,63312.92,10.525035
2026-06-05 03:06:00,63294.0,63319.04,63217.91,63219.74,12.15173823
2026-06-05 03:07:00,63212.3,63228.28,63194.3,63197.92,9.02787929
2026-06-05 03:08:00,63198.7,63236.12,63184.1,63220.85,12.68690792
2026-06-05 03:09:00,63215.03,63297.1,63215.02,63288.46,5.01988472
2026-06-05 03:10:00,63288.46,63374.56,63280.8,63355.37,23.11929471
2026-06-05 03:11:00,63339.0,63371.72,63335.0,63362.11,9.73846585
2026-06-05 03:12:00,63359.59,63468.98,63354.2,63431.89,9.47540159
2026-06-05 03:13:00,63431.9,63441.38,63417.0,63430.73,7.42835792
2026-06-05 03:14:00,63430.73,63449.98,63424.24,63444.0,5.4731791
2026-06-05 03:15:00,63444.44,63472.82,63422.24,63422.24,14.3855424
2026-06-05 03:16:00,63422.24,63462.67,63376.63,63452.65,9.08207114
2026-06-05 03:17:00,63452.65,63476.84,63400.75,63400.75,10.55961886
2026-06-05 03:18:00,63400.75,63406.75,63363.39,63368.97,21.5284058
2026-06-05 03:19:00,63362.72,63366.12,63299.51,63305.3,6.76526184
2026-06-05 03:20:00,63310.66,63352.88,63298.41,63321.0,10.69636758
2026-06-05 03:21:00,63317.22,63340.44,63272.33,63302.27,8.64861247
2026-06-05 03:22:00,63302.26,63320.38,63259.04,63264.29,13.14302613
2026-06-05 03:23:00,63260.73,63277.57,63254.32,63254.32,8.92625088
2026-06-05 03:24:00,63251.36,63273.93,63239.11,63266.01,3.39841818
2026-06-05 03:25:00,63266.0,63306.95,63234.18,63266.89,14.2117231
2026-06-05 03:26:00,63260.68,63260.68,63144.19,63144.2,8.08110951
2026-06-05 03:27:00,63153.87,63162.55,63122.82,63133.06,15.20094655
2026-06-05 03:28:00,63133.07,63179.63,63133.07,63156.58,6.48250101
2026-06-05 03:29:00,63156.59,63276.65,63146.29,63272.5,8.54445728
2026-06-05 03:30:00,63284.32,63382.6,63271.25,63361.07,7.08276314
2026-06-05 03:31:00,63369.89,63437.45,63342.21,63425.1,2.3273612
2026-06-05 03:32:00,63441.45,63454.48,63437.0,63451.0,1.0261729
2026-06-05 03:33:00,63443.43,63467.35,63443.43,63458.38,0.62815217
2026-06-05 03:34:00,63458.38,63488.33,63452.0,63485.1,0.70219192
2026-06-05 03:35:00,63485.1,63485.1,63405.39,63410.01,15.21043948
2026-06-05 03:36:00,63410.02,63423.0,63381.5,63390.0,10.239526
2026-06-05 03:37:00,63390.0,63461.99,63390.0,63444.37,10.36878463
2026-06-05 03:38:00,63444.37,63450.72,63415.86,63417.2,5.47529602
2026-06-05 03:39:00,63417.21,63464.2,63415.86,63446.01,9.848497
2026-06-05 03:40:00,63446.01,63547.53,63446.01,63538.84,6.85222032
2026-06-05 03:41:00,63542.53,63580.51,63520.01,63575.75,9.22297218
2026-06-05 03:42:00,63575.75,63575.75,63551.08,63571.02,9.07370067
2026-06-05 03:43:00,63580.39,63615.66,63538.01,63548.44,11.78893063
2026-06-05 03:44:00,63538.04,63545.93,63499.81,63499.81,8.17766286
2026-06-05 03:45:00,63499.81,63560.99,63499.81,63546.99,4.65112291
2026-06-05 03:46:00,63549.99,63558.72,63523.1,63523.1,10.53997381
2026-06-05 03:47:00,63523.09,63537.26,63375.3,63375.3,17.25590488
2026-06-05 03:48:00,63375.3,63453.06,63375.3,63453.06,8.48942878
2026-06-05 03:49:00,63453.07,63507.32,63444.76,63489.19,12.63231147
2026-06-05 03:50:00,63472.18,63501.81,63446.95,63501.81,5.89022167
2026-06-05 03:51:00,63501.81,63515.72,63432.34,63432.34,7.65492281
2026-06-05 03:52:00,63430.56,63516.21,63430.56,63474.65,6.02631804
2026-06-05 03:53:00,63474.65,63480.74,63435.01,63435.01,18.16907088
2026-06-05 03:54:00,63435.0,63510.11,63435.0,63510.11,2.96200301
2026-06-05 03:55:00,63510.11,63552.08,63510.11,63532.37,5.5151536
2026-06-05 03:56:00,63542.0,63577.52,63542.0,63556.66,10.28896712
2026-06-05 03:57:00,63556.67,63556.67,63481.91,63513.0,10.62296503
2026-06-05 03:58:00,63520.58,63559.85,63510.86,63548.54,5.5507203
2026-06-05 03:59:00,63546.66,63618.48,63546.66,63584.09,6.32314742
2026-06-05 04:00:00,63580.02,63605.81,63548.66,63605.8,11.19437906
2026-06-05 04:01:00,63629.91,63633.41,63561.51,63599.47,10.04067759
2026-06-05 04:02:00,63629.97,63716.0,63629.97,63649.09,18.29227162
2026-06-05 04:03:00,63636.41,63715.0,63636.41,63715.0,3.82605562
2026-06-05 04:04:00,63701.08,63708.0,63676.14,63697.56,6.44151767
2026-06-05 04:05:00,63697.56,63761.77,63697.56,63761.77,8.24068001
2026-06-05 04:06:00,63761.81,63797.5,63708.01,63729.23,2.66547217
2026-06-05 04:07:00,63718.74,63797.03,63704.75,63797.03,7.57638086
2026-06-05 04:08:00,63777.08,63777.08,63736.04,63749.44,0.73708664
2026-06-05 04:09:00,63749.99,63797.49,63749.99,63789.29,0.77178498
2026-06-05 04:10:00,63788.0,63819.7,63767.95,63819.7,2.83739038
2026-06-05 04:11:00,63811.0,63811.0,63683.27,63683.27,1.70758917
2026-06-05 04:12:00,63704.94,63782.43,63700.0,63782.43,1.23955301
2026-06-05 04:13:00,63768.57,63768.57,63708.26,63722.15,0.65151885
2026-06-05 04:14:00,63735.94,63748.01,63719.01,63738.0,0.31861349
2026-06-05 04:15:00,63745.73,63755.64,63702.11,63743.0,1.26259325
2026-06-05 04:16:00,63748.99,63760.93,63695.23,63706.36,4.08451285
2026-06-05 04:17:00,63695.34,63707.03,63676.0,63676.0,5.66091287
2026-06-05 04:18:00,63669.25,63669.25,63579.0,63582.27,3.40729661
2026-06-05 04:19:00,63588.49,63625.02,63529.99,63623.98,5.24840375
2026-06-05 04:20:00,63623.98,63627.0,63587.0,63587.0,2.71616631
2026-06-05 04:21:00,63581.67,63581.68,63482.26,63490.8,3.43056758
2026-06-05 04:22:00,63493.21,63495.77,63445.0,63455.66,2.28454511
2026-06-05 04:23:00,63456.86,63500.0,63456.86,63500.0,1.75090364
2026-06-05 04:24:00,63502.0,63553.78,63493.37,63493.37,2.41614375
