timestamp,open,high,low,close,volume
2026-05-28 17:13:00,73344.46,73366.84,73344.46,73366.84,1.23629477
2026-05-28 17:14:00,73366.84,73381.32,73351.15,73363.55,2.14666403
2026-05-28 17:15:00,73370.01,73370.01,73317.76,73328.0,1.75463338
2026-05-28 17:16:00,73327.99,73341.47,73312.0,73323.0,1.37798721
2026-05-28 17:17:00,73321.95,73329.51,73289.93,73301.51,1.06034113
2026-05-28 17:18:00,73291.91,73292.09,73266.2,73292.09,1.70464134
2026-05-28 17:19:00,73300.65,73339.16,73300.65,73339.15,1.26217446
2026-05-28 17:20:00,73348.74,73359.99,73328.13,73344.93,0.74663803
2026-05-28 17:21:00,73337.85,73358.49,73332.02,73356.62,1.06545638
2026-05-28 17:22:00,73354.68,73354.68,73308.99,73308.99,0.63544567
2026-05-28 17:23:00,73300.39,73300.39,73281.99,73286.42,1.0640805
2026-05-28 17:24:00,73286.43,73286.43,73276.97,73276.97,0.94072522
2026-05-28 17:25:00,73272.07,73272.07,73185.99,73186.0,3.34204498
2026-05-28 17:26:00,73186.0,73250.34,73185.99,73250.33,1.48494231
2026-05-28 17:27:00,73250.34,73283.7,73239.68,73283.7,2.02250789
2026-05-28 17:28:00,73277.04,73283.71,73257.56,73257.56,1.96343384
2026-05-28 17:29:00,73252.92,73262.91,73222.0,73235.0,0.96199777
2026-05-28 17:30:00,73234.99,73252.4,73216.84,73239.92,1.10990371
2026-05-28 17:31:00,73239.92,73276.01,73236.55,73276.01,1.8086317
2026-05-28 17:32:00,73276.01,73303.37,73276.01,73303.37,2.64739726
2026-05-28 17:33:00,73302.02,73351.88,73302.02,73350.72,1.78611776
2026-05-28 17:34:00,73350.72,73370.92,73348.63,73370.92,1.23391172
2026-05-28 17:35:00,73370.92,73383.48,73357.01,73357.01,1.20091098
2026-05-28 17:36:00,73351.91,73371.74,73351.91,73366.43,0.5986376
2026-05-28 17:37:00,73370.95,73370.95,73362.96,73362.97,0.30112556
